(publicKeyCreate,PublicKeyCreate)
(publicKeyTweakAdd,PublicKeyTweakAdd)
(signatureNormalize,SignatureNormalize)
(Secp256k1,Secp256k1Addon)
(privateKeyNegate,PrivateKeyNegate)
(squeeze,Squeeze)
(publicKeyVerify,PublicKeyVerify)
(ecdh,ECDH)
(ecdsaRecover,ECDSARecover)
(publicKeyTweakMul,PublicKeyTweakMul)
(ecdsaSign,ECDSASign)
(initialize,Initialize)
(signatureExport,SignatureExport)
(napi,IsValidUTF8)
(absorbLastFewBits,AbsorbLastFewBits)
(privateKeyVerify,PrivateKeyVerify)
(signatureImport,SignatureImport)
(contextRandomize,ContextRandomize)
(privateKeyTweakAdd,PrivateKeyTweakAdd)
(copy,Copy)
(publicKeyCombine,PublicKeyCombine)
(mask,Mask)
(publicKeyConvert,PublicKeyConvert)
(publicKeyNegate,PublicKeyNegate)
(ecdsaVerify,ECDSAVerify)
(privateKeyTweakMul,PrivateKeyTweakMul)
(glibc,KeccakWrapper)
(absorb,Absorb)
(unmask,Unmask)
