($SetUnmarshallingFilter,SetUnmarshallingFilter)
(evalAsFile,EvalAsFile)
(beginFinalize,BeginFinalize)
($IsInstanceOf,IsInstanceOf)
(import,Import)
($GetCurrentThreadID,GetCurrentThreadID)
(init,Initialize)
(eval,Eval)
($SetJSTypeCheckingCallback,SetJSTypeCheckingCallback)
($SetSerializationCallbackConstructor,SetSerializationCallBackConstructor)
($GetMarshaledObject,GetMarshaledObject)
($SetSerializationFilterConstructor,SetSerializationFiltersConstructor)
($SetDebugMessagingCallback,SetDebugMessagingCallback)
(global,Global)
(Tuple,CoerceAsTuple)
(instance,InstanceInformation)
(Integer,CoerceAsInteger)
