(getInt64,GetInt64)
(getPath,GetPath)
(mode,Mode)
(writeTree,WriteTree)
(messageRemove,MessageRemove)
(entryById,EntryByid)
(commitWalk,CommitWalk)
(authorWithMailmap,AuthorWithMailmap)
(IndexNameEntry,JSNewFunction)
(MergeOptions,JSNewFunction)
(reload,Reload)
(rename,Rename)
(Remote,JSNewFunction)
(ensureLog,EnsureLog)
(parse,Parse)
(sorting,Sorting)
(hashSha1,HashSha1)
(DiffPatchidOptions,JSNewFunction)
(nanoseconds,Nanoseconds)
(StatusEntry,JSNewFunction)
(apply,Apply)
(setOom,SetOom)
(fromRef,FromRef)
(cmp,Cmp)
(insertTree,InsertTree)
(Refspec,JSNewFunction)
(load,Load)
(Signature,JSNewFunction)
(removeAll,RemoveAll)
(toBuffer,ToBuffer)
(idOld,IdOld)
(defaultRef,DefaultRef)
(inflatedlen,Inflatedlen)
(content,Content)
(deletions,Deletions)
(branch,Branch)
(byIndex,Byindex)
(Clone,Clone)
(indexedObjects,IndexedObjects)
(oldLineno,OldLineno)
(Reset,Reset)
(abort,Abort)
(local,Local)
(containsNul,ContainsNul)
(list,List)
(Time,JSNewFunction)
(pathIsIgnored,PathIsIgnored)
(written,Written)
(discover,Discover)
(wdId,WdId)
(fromRepository,FromRepository)
(receivedObjects,ReceivedObjects)
(openExt,OpenExt)
(get,Get)
(filesChanged,FilesChanged)
(totalObjects,TotalObjects)
(addAll,AddAll)
(upstreamRemote,UpstreamRemote)
(target,Target)
(features,Features)
(diffEntry,DiffEntry)
(updateStrategy,UpdateStrategy)
(ref,Ref)
(idAbbrev,IdAbbrev)
(unlock,Unlock)
(Mailmap,JSNewFunction)
(stop,Stop)
(pop,Pop)
(convenientFromDiff,ConvenientFromDiff)
(headDetached,HeadDetached)
(Filter,JSNewFunction)
(toObject,ToObject)
(FilterList,JSNewFunction)
(matchWorkdir,MatchWorkdir)
(flags,Flags)
(Cherrypick,Cherrypick)
(Tree,JSNewFunction)
(resolveUrl,ResolveUrl)
(addSetup,AddSetup)
(stateCleanup,StateCleanup)
(usernameNew,UsernameNew)
(detachHead,DetachHead)
(lineStats,LineStats)
(workdir,Workdir)
(createMatching,CreateMatching)
(Packbuilder,JSNewFunction)
(IndexConflictIterator,JSNewFunction)
(idNew,IdNew)
(connected,Connected)
(getByIndex,GetByindex)
(IndexEntry,JSNewFunction)
(getMany,GetMany)
(Pathspec,JSNewFunction)
(origStartLineNumber,OrigStartLineNumber)
(createV,CreateV)
(CloneOptions,JSNewFunction)
(dispose,Dispose)
(foreachExt,ForeachExt)
(setFetchRecurseSubmodules,SetFetchRecurseSubmodules)
(findProgramdata,FindProgramdata)
(ConvenientHunk,JSNewFunction)
(addEntry,AddEntry)
(pushurl,Pushurl)
(setPushurl,SetPushurl)
(add,Add)
(createBuffer,CreateBuffer)
(Reflog,JSNewFunction)
(messageRaw,MessageRaw)
(setBranch,SetBranch)
(move,Move)
(register,GitFilterRegister)
(CheckoutPerfdata,JSNewFunction)
(existsPrefix,ExistsPrefix)
(email,Email)
(createFromWorkdir,CreateFromWorkdir)
(id,Id)
(analysisForRef,AnalysisForRef)
(pushRange,PushRange)
(conflictGet,ConflictGet)
(value,Value)
(patchid,Patchid)
(Repository,JSNewFunction)
(parentcount,Parentcount)
(targetPeel,TargetPeel)
(updateTips,UpdateTips)
(index,Index)
(Writestream,JSNewFunction)
(clear,Clear)
(autotag,Autotag)
(origHeadName,OrigHeadName)
(isTag,IsTag)
(ignore,Ignore)
(treeToIndex,TreeToIndex)
(dwim,Dwim)
(body,Body)
(compare,Compare)
(merge,Merge)
(DescribeFormatOptions,JSNewFunction)
(toBuf,ToBuf)
(statCalls,StatCalls)
(RebaseOperation,JSNewFunction)
(entrycount,Entrycount)
(isUnreadable,IsUnreadable)
(isUnmodified,IsUnmodified)
(finalCommitId,FinalCommitId)
(push,Push)
(entryCount,Entrycount)
(Odb,JSNewFunction)
(DiffFile,JSNewFunction)
(hide,Hide)
(listMatch,ListMatch)
(summary,Summary)
(findXdg,FindXdg)
(Treebuilder,JSNewFunction)
(lookupPrefix,LookupPrefix)
(isBinary,IsBinary)
(getEntry,GetEntry)
(targetId,TargetId)
(Submodule,JSNewFunction)
(tostrS,TostrS)
(writeTreeTo,WriteTreeTo)
(committer,Committer)
(sign,Sign)
(isAdded,IsAdded)
(isModified,IsModified)
(symbolicCreateMatching,SymbolicCreateMatching)
(RevertOptions,JSNewFunction)
(setInt32,SetInt32)
(StashApplyOptions,JSNewFunction)
(setIgnore,SetIgnore)
(shutdown,Shutdown)
(failedEntry,FailedEntry)
(headDetachedForWorktree,HeadDetachedForWorktree)
(strings,Strings)
(count,Count)
(hasConflicts,HasConflicts)
(ConvenientPatch,JSNewFunction)
(extractSignature,ExtractSignature)
(remove,Remove)
(mapValue,MapValue)
(addFinalize,AddFinalize)
(config,Config)
(certType,CertType)
(IndexReucEntry,JSNewFunction)
(Commit,JSNewFunction)
(treeToWorkdirWithIndex,TreeToWorkdirWithIndex)
(getStats,GetStats)
