(lame_set_compression_ratio,node_lame_set_compression_ratio)
(lame_get_copyright,node_lame_get_copyright)
(lame_set_scale_left,node_lame_set_scale_left)
(get_lame_os_bitness,node_get_lame_os_bitness)
(lame_get_brate,node_lame_get_brate)
(lame_set_original,node_lame_set_original)
(lame_get_disable_reservoir,node_lame_get_disable_reservoir)
(lame_get_VBR_quality,node_lame_get_VBR_quality)
(mpg123_framepos,node_mpg123_framepos)
(mpg123_supported_decoders,node_mpg123_supported_decoders)
(lame_get_num_channels,node_lame_get_num_channels)
(lame_init_params,node_lame_init_params)
(lame_get_VBR_q,node_lame_get_VBR_q)
(lame_samplerates,node_lame_samplerates)
(lame_print_config,node_lame_print_config)
(lame_set_VBR_min_bitrate_kbps,node_lame_set_VBR_min_bitrate_kbps)
(lame_set_num_samples,node_lame_set_num_samples)
(mpg123_outblock,node_mpg123_outblock)
(lame_get_exp_nspsytune,node_lame_get_exp_nspsytune)
(mpg123_current_decoder,node_mpg123_current_decoder)
(lame_get_in_samplerate,node_lame_get_in_samplerate)
(mpg123_open_feed,node_mpg123_open_feed)
(lame_get_lowpasswidth,node_lame_get_lowpasswidth)
(lame_set_VBR_mean_bitrate_kbps,node_lame_set_VBR_mean_bitrate_kbps)
(lame_get_out_samplerate,node_lame_get_out_samplerate)
(get_lame_version,node_get_lame_version)
(lame_set_exp_nspsytune,node_lame_set_exp_nspsytune)
(lame_set_disable_reservoir,node_lame_set_disable_reservoir)
(lame_set_highpasswidth,node_lame_set_highpasswidth)
(mpg123_read,node_mpg123_read)
(lame_get_quant_comp,node_lame_get_quant_comp)
(lame_get_id3v1_tag,node_lame_get_id3v1_tag)
(lame_set_out_samplerate,node_lame_set_out_samplerate)
(lame_init,node_lame_init)
(lame_set_bWriteVbrTag,node_lame_set_bWriteVbrTag)
(lame_set_extension,node_lame_set_extension)
(lame_get_scale_left,node_lame_get_scale_left)
(mpg123_init,node_mpg123_init)
(lame_set_highpassfreq,node_lame_set_highpassfreq)
(lame_get_quant_comp_short,node_lame_get_quant_comp_short)
(mpg123_id3,node_mpg123_id3)
(lame_print_internals,node_lame_print_internals)
(lame_get_VBR,node_lame_get_VBR)
(mpg123_feed,node_mpg123_feed)
(lame_set_quant_comp,node_lame_set_quant_comp)
(lame_close,node_lame_close)
(lame_set_in_samplerate,node_lame_set_in_samplerate)
(lame_get_highpassfreq,node_lame_get_highpassfreq)
(lame_get_id3v2_tag,node_lame_get_id3v2_tag)
(lame_get_extension,node_lame_get_extension)
(lame_set_lowpasswidth,node_lame_set_lowpasswidth)
(lame_get_scale_right,node_lame_get_scale_right)
(lame_get_scale,node_lame_get_scale)
(lame_get_VBR_mean_bitrate_kbps,node_lame_get_VBR_mean_bitrate_kbps)
(lame_set_analysis,node_lame_set_analysis)
(lame_set_mode,node_lame_set_mode)
(lame_get_VBR_hard_min,node_lame_get_VBR_hard_min)
(lame_get_VBR_max_bitrate_kbps,node_lame_get_VBR_max_bitrate_kbps)
(mpg123_decoders,node_mpg123_decoders)
(mpg123_tell_stream,node_mpg123_tell_stream)
(lame_set_VBR_max_bitrate_kbps,node_lame_set_VBR_max_bitrate_kbps)
(mpg123_exit,node_mpg123_exit)
(lame_set_strict_ISO,node_lame_set_strict_ISO)
(lame_get_mode,node_lame_get_mode)
(lame_set_quant_comp_short,node_lame_set_quant_comp_short)
(lame_set_num_channels,node_lame_set_num_channels)
(lame_set_brate,node_lame_set_brate)
(lame_get_lowpassfreq,node_lame_get_lowpassfreq)
(lame_set_quality,node_lame_set_quality)
(lame_set_error_protection,node_lame_set_error_protection)
(lame_set_scale,node_lame_set_scale)
(lame_set_scale_right,node_lame_set_scale_right)
(lame_get_original,node_lame_get_original)
(lame_get_num_samples,node_lame_get_num_samples)
(lame_get_quality,node_lame_get_quality)
(lame_set_VBR_q,node_lame_set_VBR_q)
(lame_set_VBR_hard_min,node_lame_set_VBR_hard_min)
(lame_set_VBR_quality,node_lame_set_VBR_quality)
(lame_get_compression_ratio,node_lame_get_compression_ratio)
(mpg123_safe_buffer,node_mpg123_safe_buffer)
(lame_bitrates,node_lame_bitrates)
(lame_get_highpasswidth,node_lame_get_highpasswidth)
(lame_get_analysis,node_lame_get_analysis)
(mpg123_new,node_mpg123_new)
(lame_set_VBR,node_lame_set_VBR)
(lame_get_strict_ISO,node_lame_get_strict_ISO)
(lame_get_VBR_min_bitrate_kbps,node_lame_get_VBR_min_bitrate_kbps)
(lame_encode_buffer,node_lame_encode_buffer)
(mpg123_getformat,node_mpg123_getformat)
(lame_encode_flush_nogap,node_lame_encode_flush_nogap)
(lame_get_error_protection,node_lame_get_error_protection)
(lame_set_copyright,node_lame_set_copyright)
(lame_set_lowpassfreq,node_lame_set_lowpassfreq)
(mpg123_tellframe,node_mpg123_tellframe)
(lame_get_bWriteVbrTag,node_lame_get_bWriteVbrTag)
(mpg123_tell,node_mpg123_tell)
