(ogg_sync_write,node_ogg_sync_write)
(ogg_packet_b_o_s,node_ogg_packet_b_o_s)
(ogg_packet_replace_buffer,node_ogg_packet_replace_buffer)
(ogg_packet_granulepos,node_ogg_packet_granulepos)
(ogg_stream_pagein,node_ogg_stream_pagein)
(ogg_packet_set_packet,node_ogg_packet_set_packet)
(ogg_stream_init,node_ogg_stream_init)
(ogg_stream_packetout,node_ogg_stream_packetout)
(ogg_stream_flush,node_ogg_stream_flush)
(ogg_packet_get_packet,node_ogg_packet_get_packet)
(ogg_sync_init,node_ogg_sync_init)
(ogg_packet_e_o_s,node_ogg_packet_e_o_s)
(ogg_stream_packetin,node_ogg_stream_packetin)
(ogg_packet_bytes,node_ogg_packet_bytes)
(ogg_stream_pageout,node_ogg_stream_pageout)
(ogg_packet_packetno,node_ogg_packet_packetno)
(ogg_sync_pageout,node_ogg_sync_pageout)
(ogg_page_to_buffer,node_ogg_page_to_buffer)
