(tzsToJson,NapiSettingsToJson)
(tzsMetaJson,NapiSettingsMetaJson)
(scpToText,NapiScpToText)
(tzgFromJson,NapiAccelFromJson)
(tzsToText,NapiSettingsToText)
(tzeToText,NapiEventToText)
(tzrFinder,NapiIntervalFinder)
(tzrFromJson,NapiIntervalFromJson)
(batteryInfoFromText,NapiBatteryInfoFromText)
(scpFromJson,NapiScpFromJson)
(tzaFromText,NapiActionsFromText)
(tzrToText,NapiIntervalToText)
(tzsFromText,NapiSettingsFromText)
(batteryInfoToText,NapiBatteryInfoToText)
(backupFromText,NapiBackupFromText)
(tzeFinder,NapiEventFinder)
(tzgToJson,NapiAccelToJson)
(tzaToJson,NapiActionsToJson)
(scpToJson,NapiScpToJson)
(tzeToJson,NapiEventToJson)
(tzsFromJson,NapiSettingsFromJson)
(tzaFromJson,NapiActionsFromJson)
(parseQueue,NapiParseQueue)
(tzaToText,NapiActionsToText)
(tzrToJson,NapiIntervalToJson)
(backupToText,NapiBackupToText)
(tzsDefaultJson,NapiSettingsDefaultJson)
(tzeFromJson,NapiEventFromJson)
(ejectDrive,NapiEjectDrive)
