(SDL_CreateRenderer,SDL_CreateRenderer_Callback)
(SDL_GetWindowSize,SDL_GetWindowSize_Callback)
(SDL_GetNumVideoDisplays,SDL_GetNumVideoDisplays_Callback)
(SDL_GL_SwapWindow,SDL_GL_SwapWindow_Callback)
(TTF_OpenFont,TTF_OpenFont_Callback)
(TTF_CloseFont,TTF_CloseFont_Callback)
(SDL_GetCursor,SDL_GetCursor_Callback)
(SDL_Quit,SDL_Quit_Callback)
(SDL_SetRenderDrawColor,SDL_SetRenderDrawColor_Callback)
(TTF_Init,TTF_Init_Callback)
(SDL_CreateTexture,SDL_CreateTexture_Callback)
(SDL_GL_CreateContext,SDL_GL_CreateContext_Callback)
(TTF_RenderUTF8_Solid,TTF_RenderUTF8_Solid_Callback)
(SDL_QueryTexture,SDL_QueryTexture_Callback)
(SDL_Delay,SDL_Delay_Callback)
(SDL_GetWindowSurface,SDL_GetWindowSurface_Callback)
(SDL_WaitEvent,SDL_WaitEvent_Callback)
(SDL_GetTicks,SDL_GetTicks_Callback)
(SDL_RenderPresent,SDL_RenderPresent_Callback)
(SDL_DisableScreenSaver,SDL_DisableScreenSaver_Callback)
(SDL_StopTextInput,SDL_StopTextInput_Callback)
(SDL_RegisterEvents,SDL_RegisterEvents_Callback)
(SDL_RenderClear,SDL_RenderClear_Callback)
(SDL_CreateCursor,SDL_CreateCursor_Callback)
(SDL_SetCursor,SDL_SetCursor_Callback)
(SDL_DestroyRenderer,SDL_DestroyRenderer_Callback)
(SDL_PollEvent,SDL_PollEvent_Callback)
(SDL_CreateTextureFromSurface,SDL_CreateTextureFromSurface_Callback)
(SDL_PumpEvents,SDL_PumpEvents_Callback)
(SDL_SetTextInputRect,SDL_SetTextInputRect_Callback)
(SDL_UpdateTexture,SDL_UpdateTexture_Callback)
(TTF_RenderText_Solid,TTF_RenderText_Solid_Callback)
(SDL_StartTextInput,SDL_StartTextInput_Callback)
(SDL_Init,SDL_Init_Callback)
(SDL_ShowCursor,SDL_ShowCursor_Callback)
(SDL_DestroyWindow,SDL_DestroyWindow_Callback)
(SDL_GL_SetSwapInterval,SDL_GL_SetSwapInterval_Callback)
(SDL_RenderFillRect,SDL_RenderFillRect_Callback)
(SDL_GetDesktopDisplayMode,SDL_GetDesktopDisplayMode_Callback)
(SDL_FreeSurface,SDL_FreeSurface_Callback)
(SDL_CreateSystemCursor,SDL_CreateSystemCursor_Callback)
(SDL_DestroyTexture,SDL_DestroyTexture_Callback)
(SDL_GL_SetAttribute,SDL_GL_SetAttribute_Callback)
(SDL_PushEvent,SDL_PushEvent_Callback)
(SDL_SetWindowSize,SDL_SetWindowSize_Callback)
(SDL_RenderCopy,SDL_RenderCopy_Callback)
(SDL_CreateWindow,SDL_CreateWindow_Callback)
(SDL_PeepEvents,SDL_PeepEvents_Callback)
