(setIsPlayStateSync,setIsPlayStateSync)
(disablePlayStateSync,disablePlayStateSync)
(AbletonLinkAudio,true)
(getIsPlaying,getIsPlaying)
(enable,enable)
(onNumPeersChanged,onNumPeersChanged)
(AbletonLink,false)
(stop,stop)
(getPhase,getPhase)
(onTempoChanged,onTempoChanged)
(getIsPlayStateSync,getIsPlayStateSync)
(getQuantum,getQuantum)
(update,update)
(getBeat,getBeat)
(enablePlayStateSync,enablePlayStateSync)
(setBpm,setBpm)
(off,off)
(getLinkEnable,getLinkEnable)
(getBpm,getBpm)
(setBeat,setBeat)
(setBeatForce,setBeatForce)
(onPlayStateChanged,onPlayStateChanged)
(setQuantum,setQuantum)
(setLinkEnable,setLinkEnable)
(disable,disable)
(setIsPlaying,setIsPlaying)
(play,play)
(on,on)
(getNumPeers,getNumPeers)
