(turbo_net_tcp_init,turbo_net_tcp_init)
(turbo_net_tcp_destroy,turbo_net_tcp_destroy)
(turbo_net_tcp_read,turbo_net_tcp_read)
(turbo_net_tcp_close,turbo_net_tcp_close)
(turbo_net_tcp_connect,turbo_net_tcp_connect)
(turbo_net_tcp_write,turbo_net_tcp_write)
(turbo_net_tcp_write_two,turbo_net_tcp_write_two)
(turbo_net_tcp_port,turbo_net_tcp_port)
(turbo_net_tcp_listen,turbo_net_tcp_listen)
(turbo_net_tcp_shutdown,turbo_net_tcp_shutdown)
(turbo_net_tcp_writev,turbo_net_tcp_writev)
(turbo_net_on_fatal_exception,turbo_net_on_fatal_exception)
