(columns,JS_columns)
(exec,JS_exec)
(return,JS_return)
(expand,JS_expand)
(loadExtension,JS_loadExtension)
(Statement,JS_new)
(iterate,JS_iterate)
(all,JS_all)
(aggregate,JS_aggregate)
(function,JS_function)
(defaultSafeIntegers,JS_defaultSafeIntegers)
(StatementIterator,JS_new)
(backup,JS_backup)
(unsafeMode,JS_unsafeMode)
(transfer,JS_transfer)
(Database,JS_new)
(serialize,JS_serialize)
(run,JS_run)
(next,JS_next)
(raw,JS_raw)
(pluck,JS_pluck)
(get,JS_get)
(Backup,JS_new)
(close,JS_close)
(prepare,JS_prepare)
(setErrorConstructor,JS_setErrorConstructor)
(bind,JS_bind)
(safeIntegers,JS_safeIntegers)
(table,JS_table)
