(upow,Upow)
(bcompare,Bcompare)
(bsub,Bsub)
(uadd,Uadd)
(badd,Badd)
(uprime0,Uprime0)
(umul,Umul)
(udiv,Udiv)
(bsqrt,Bsqrt)
(gcd,Bgcd)
(probprime,Probprime)
(bmod,Bmod)
(jacobi,Bjacobi)
(upowm,Upowm)
(bneg,Bneg)
(umul2exp,Umul_2exp)
(isbitset,IsBitSet)
(broot,Broot)
(usub,Usub)
(bxor,Bxor)
(setCompact,Bsetcompact)
(scompare,Scompare)
(bmul,Bmul)
(bor,Bor)
(udiv2exp,Udiv_2exp)
(umod,Umod)
(setJSConditioner,SetJSConditioner)
(BigNum,New)
(ucompare,Ucompare)
(tostring,ToString)
(brand0,Brand0)
(bitLength,BitLength)
(band,Band)
(babs,Babs)
(binvertm,Binvertm)
(bdiv,Bdiv)
(bpowm,Bpowm)
