(zlibUncompress,zlibUncompress)
(zlibCompress,zlibCompress)
(zipFiles,zipFiles)
(countWordsInit,countWordsInit)
(geoHashDecode,geoHashDecode)
(getUser,getUser)
(geoHashEncode,geoHashEncode)
(geoHashAdjacent,geoHashAdjacent)
(unzipFile,unzipFile)
(getTimeOfDay,getTimeOfDay)
(geoHashGrid,geoHashGrid)
(geoHashRow,geoHashRow)
(strSplit,strSplit)
(run,run)
(snappyCompress,snappyCompress)
(geoDistance,geoDistance)
(unzip,unzip)
(getGroup,getGroup)
(snappyUncompress,snappyUncompress)
(initBusy,initBusy)
(getBusy,getBusy)
(countWords,countWords)
(countAllWords,countAllWords)
(isBusy,isBusy)
(geoBoundingBox,geoBoundingBox)
