(Hash32WithSeedString,Hash32WithSeedString)
(Fingerprint32Buffer,Fingerprint32Buffer)
(Hash64Buffer,Hash64Buffer)
(Hash64String,Hash64String)
(Fingerprint32String,Fingerprint32String)
(Hash64WithSeedBuffer,Hash64WithSeedBuffer)
(Hash32WithSeedBuffer,Hash32WithSeedBuffer)
(Hash32Buffer,Hash32Buffer)
(Hash32String,Hash32String)
(Hash64WithSeedString,Hash64WithSeedString)
(Hash64WithSeedsBuffer,Hash64WithSeedsBuffer)
(Fingerprint64String,Fingerprint64String)
(Hash64WithSeedsString,Hash64WithSeedsString)
(Fingerprint64Buffer,Fingerprint64Buffer)
