(getPath,GetPath)
(checkoutHead,CheckoutHead)
(_getWorkingDirectory,GetWorkingDirectory)
(getHead,GetHead)
(compareCommitsAsync,CompareCommitsAsync)
(getIndexBlob,GetIndexBlob)
(checkoutRef,CheckoutReference)
(compareCommits,CompareCommits)
(Repository,New)
(refreshIndex,RefreshIndex)
(exists,Exists)
(getConfigValue,GetConfigValue)
(add,Add)
(getLineDiffs,GetLineDiffs)
(_release,Release)
(getReferences,GetReferences)
(isIgnored,IsIgnored)
(getStatusAsync,GetStatusAsync)
(getStatus,GetStatus)
(getHeadAsync,GetHeadAsync)
(getStatusForPath,GetStatusForPath)
(getLineDiffDetails,GetLineDiffDetails)
(setConfigValue,SetConfigValue)
(getReferenceTarget,GetReferenceTarget)
(getHeadBlob,GetHeadBlob)
(getSubmodulePaths,GetSubmodulePaths)
(isSubmodule,IsSubmodule)
(getDiffStats,GetDiffStats)
