(_vertexAttribDivisor,VertexAttribDivisor)
(cullFace,CullFace)
(getSupportedExtensions,GetSupportedExtensions)
(clearColor,ClearColor)
(extWEBGL_draw_buffers,EXTWEBGL_draw_buffers)
(clear,Clear)
(blendFunc,BlendFunc)
(viewport,Viewport)
(uniform3i,Uniform3i)
(bindFramebuffer,BindFramebuffer)
(renderbufferStorage,RenderbufferStorage)
(isProgram,IsProgram)
(uniform4f,Uniform4f)
(pixelStorei,PixelStorei)
(cleanup,DisposeAll)
(enableVertexAttribArray,EnableVertexAttribArray)
(uniformMatrix2fv,UniformMatrix2fv)
(uniform3f,Uniform3f)
(framebufferTexture2D,FramebufferTexture2D)
(bindAttribLocation,BindAttribLocation)
(deleteVertexArrayOES,DeleteVertexArrayOES)
(isShader,IsShader)
(texParameteri,TexParameteri)
(createTexture,CreateTexture)
(stencilOpSeparate,StencilOpSeparate)
(getBufferParameter,GetBufferParameter)
(shaderSource,ShaderSource)
(deleteProgram,DeleteProgram)
(getRenderbufferParameter,GetRenderbufferParameter)
(getFramebufferAttachmentParameter,GetFramebufferAttachmentParameter)
(createFramebuffer,CreateFramebuffer)
(uniform1i,Uniform1i)
(isEnabled,IsEnabled)
(generateMipmap,GenerateMipmap)
(stencilFuncSeparate,StencilFuncSeparate)
(destroy,Destroy)
(getShaderInfoLog,GetShaderInfoLog)
(disable,Disable)
(getProgramInfoLog,GetProgramInfoLog)
(colorMask,ColorMask)
(lineWidth,LineWidth)
(bindBuffer,BindBuffer)
(useProgram,UseProgram)
(getVertexAttrib,GetVertexAttrib)
(bufferSubData,BufferSubData)
(sampleCoverage,SampleCoverage)
(stencilMask,StencilMask)
(drawArrays,DrawArrays)
(uniform2f,Uniform2f)
(blendColor,BlendColor)
(vertexAttrib2f,VertexAttrib2f)
(vertexAttrib4f,VertexAttrib4f)
(copyTexImage2D,CopyTexImage2D)
(stencilOp,StencilOp)
(createProgram,CreateProgram)
(vertexAttrib1f,VertexAttrib1f)
(stencilMaskSeparate,StencilMaskSeparate)
(depthRange,DepthRange)
(getProgramParameter,GetProgramParameter)
(depthFunc,DepthFunc)
(uniform4i,Uniform4i)
(drawElements,DrawElements)
(validateProgram,ValidateProgram)
(getShaderParameter,GetShaderParameter)
(drawBuffersWEBGL,DrawBuffersWEBGL)
(readPixels,ReadPixels)
(linkProgram,LinkProgram)
(_drawElementsInstanced,DrawElementsInstanced)
(isFramebuffer,IsFramebuffer)
(isTexture,IsTexture)
(uniform1f,Uniform1f)
(isVertexArrayOES,IsVertexArrayOES)
(getAttachedShaders,GetAttachedShaders)
(texImage2D,TexImage2D)
(_drawArraysInstanced,DrawArraysInstanced)
(deleteBuffer,DeleteBuffer)
(scissor,Scissor)
(deleteFramebuffer,DeleteFramebuffer)
(deleteShader,DeleteShader)
(getActiveAttrib,GetActiveAttrib)
(getShaderPrecisionFormat,GetShaderPrecisionFormat)
(framebufferRenderbuffer,FramebufferRenderbuffer)
(attachShader,AttachShader)
(checkFramebufferStatus,CheckFramebufferStatus)
(polygonOffset,PolygonOffset)
(getError,GetError)
(compileShader,CompileShader)
(isBuffer,IsBuffer)
(getTexParameter,GetTexParameter)
(setError,SetError)
(uniformMatrix4fv,UniformMatrix4fv)
(texParameterf,TexParameterf)
(texSubImage2D,TexSubImage2D)
(getUniform,GetUniform)
(createShader,CreateShader)
(getUniformLocation,GetUniformLocation)
(blendFuncSeparate,BlendFuncSeparate)
(detachShader,DetachShader)
(getShaderSource,GetShaderSource)
(getVertexAttribOffset,GetVertexAttribOffset)
(blendEquationSeparate,BlendEquationSeparate)
(createVertexArrayOES,CreateVertexArrayOES)
(bufferData,BufferData)
(copyTexSubImage2D,CopyTexSubImage2D)
(bindTexture,BindTexture)
(hint,Hint)
(uniform2i,Uniform2i)
(getAttribLocation,GetAttribLocation)
(deleteTexture,DeleteTexture)
(frontFace,FrontFace)
(vertexAttrib3f,VertexAttrib3f)
(getExtension,GetExtension)
(blendEquation,BlendEquation)
(vertexAttribPointer,VertexAttribPointer)
(disableVertexAttribArray,DisableVertexAttribArray)
(createRenderbuffer,CreateRenderbuffer)
(uniformMatrix3fv,UniformMatrix3fv)
(activeTexture,ActiveTexture)
(deleteRenderbuffer,DeleteRenderbuffer)
(getActiveUniform,GetActiveUniform)
(createBuffer,CreateBuffer)
(getParameter,GetParameter)
(bindVertexArrayOES,BindVertexArrayOES)
(bindRenderbuffer,BindRenderbuffer)
(clearStencil,ClearStencil)
(clearDepth,ClearDepth)
(isRenderbuffer,IsRenderbuffer)
(enable,Enable)
(depthMask,DepthMask)
(WebGLRenderingContext,New)
(finish,Finish)
(stencilFunc,StencilFunc)
(flush,Flush)
