(iterator_next,iterator_next)
(destroy_db,destroy_db)
(db_close,db_close)
(db_get_many,db_get_many)
(db_init,db_init)
(iterator_end,iterator_end)
(repair_db,repair_db)
(db_approximate_size,db_approximate_size)
(iterator_seek,iterator_seek)
(iterator_init,iterator_init)
(db_open,db_open)
(batch_write,batch_write)
(batch_init,batch_init)
(batch_do,batch_do)
(db_put,db_put)
(batch_clear,batch_clear)
(db_del,db_del)
(db_clear,db_clear)
(batch_put,batch_put)
(db_compact_range,db_compact_range)
(db_get_property,db_get_property)
(db_get,db_get)
(batch_del,batch_del)
