(xmlUCSIsCJKRadicalsSupplement,_wrap_xmlUCSIsCJKRadicalsSupplement)
(xmlPopOutputCallbacks,_wrap_xmlPopOutputCallbacks)
(xmlNextElementSibling,_wrap_xmlNextElementSibling)
(xmlCreateEnumeration,_wrap_xmlCreateEnumeration)
(xmlSchemaGetParserErrors,_wrap_xmlSchemaGetParserErrors)
(xmlUCSIsTaiLe,_wrap_xmlUCSIsTaiLe)
(xmlUCSIsCyrillicSupplement,_wrap_xmlUCSIsCyrillicSupplement)
(xmlNewDocNodeEatName,_wrap_xmlNewDocNodeEatName)
(xmlXPathIsNodeType,_wrap_xmlXPathIsNodeType)
(htmlNewParserCtxt,_wrap_htmlNewParserCtxt)
(xmlCopyDoc,_wrap_xmlCopyDoc)
(xmlXPtrLocationSetRemove,_wrap_xmlXPtrLocationSetRemove)
(xmlCtxtUseOptions,_wrap_xmlCtxtUseOptions)
(xmlCharInRange,_wrap_xmlCharInRange)
(xmlRegexpPrint,_wrap_xmlRegexpPrint)
(_xmlParserNodeInfo,_wrap_new__xmlParserNodeInfo)
(__xmlSubstituteEntitiesDefaultValue,_wrap___xmlSubstituteEntitiesDefaultValue)
(xmlXPathConvertString,_wrap_xmlXPathConvertString)
(xmlHashRemoveEntry3,_wrap_xmlHashRemoveEntry3)
(xmlParseCatalogFile,_wrap_xmlParseCatalogFile)
(xmlXPathCastStringToBoolean,_wrap_xmlXPathCastStringToBoolean)
(xmlHashCopy,_wrap_xmlHashCopy)
(xmlXPathNodeSetDel,_wrap_xmlXPathNodeSetDel)
(xmlMemFree,_wrap_xmlMemFree)
(xmlListReverseWalk,_wrap_xmlListReverseWalk)
(xmlParseQuotedString,_wrap_xmlParseQuotedString)
(xmlBufEnd,_wrap_xmlBufEnd)
(xmlUCSIsBuhid,_wrap_xmlUCSIsBuhid)
(xmlRelaxNGFreeParserCtxt,_wrap_xmlRelaxNGFreeParserCtxt)
(xmlUCSIsCatSo,_wrap_xmlUCSIsCatSo)
(xmlExpNewCtxt,_wrap_xmlExpNewCtxt)
(UTF8ToHtml,_wrap_UTF8ToHtml)
(xmlDOMWrapAdoptNode,_wrap_xmlDOMWrapAdoptNode)
(xmlInitializeCatalog,_wrap_xmlInitializeCatalog)
(xmlSAX2GetSystemId,_wrap_xmlSAX2GetSystemId)
(xmlValidateAttributeValue,_wrap_xmlValidateAttributeValue)
(xmlXPathCastNodeSetToBoolean,_wrap_xmlXPathCastNodeSetToBoolean)
(xmlUCSIsCJKCompatibility,_wrap_xmlUCSIsCJKCompatibility)
(htmlSaveFile,_wrap_htmlSaveFile)
(xmlXPathIdFunction,_wrap_xmlXPathIdFunction)
(xmlStreamPushAttr,_wrap_xmlStreamPushAttr)
(xmlFreeCatalog,_wrap_xmlFreeCatalog)
(xmlSchemaValidCtxtGetOptions,_wrap_xmlSchemaValidCtxtGetOptions)
(xmlParsePEReference,_wrap_xmlParsePEReference)
(xmlUCSIsRunic,_wrap_xmlUCSIsRunic)
(xmlRegExecPushString2,_wrap_xmlRegExecPushString2)
(xmlParsePubidLiteral,_wrap_xmlParsePubidLiteral)
(xmlParseNotationType,_wrap_xmlParseNotationType)
(xmlChildElementCount,_wrap_xmlChildElementCount)
(withStructuredErrors,withStructuredErrors)
(xmlRelaxNGFreeValidCtxt,_wrap_xmlRelaxNGFreeValidCtxt)
(xmlXPathIsInf,_wrap_xmlXPathIsInf)
(processingInstruction,_wrap_processingInstruction)
(xmlUCSIsKanbun,_wrap_xmlUCSIsKanbun)
(xmlParserAddNodeInfo,_wrap_xmlParserAddNodeInfo)
(xmlGcMemSetup,_wrap_xmlGcMemSetup)
(xmlCanonicPath,_wrap_xmlCanonicPath)
(xmlNodeGetSpacePreserve,_wrap_xmlNodeGetSpacePreserve)
(xmlListInsert,_wrap_xmlListInsert)
(xmlCatalogLocalResolve,_wrap_xmlCatalogLocalResolve)
(xmlSAX2NotationDecl,_wrap_xmlSAX2NotationDecl)
(reference,_wrap_reference)
(htmlSetMetaEncoding,_wrap_htmlSetMetaEncoding)
(xmlXPathNextDescendant,_wrap_xmlXPathNextDescendant)
(resolveEntity,_wrap_resolveEntity)
(xmlSAX2GetParameterEntity,_wrap_xmlSAX2GetParameterEntity)
(htmlParseChunk,_wrap_htmlParseChunk)
(xmlXPathSubValues,_wrap_xmlXPathSubValues)
(xmlParserPrintFileContext,_wrap_xmlParserPrintFileContext)
(xmlSetProp,_wrap_xmlSetProp)
(xmlParseSystemLiteral,_wrap_xmlParseSystemLiteral)
(xmlListPopFront,_wrap_xmlListPopFront)
(xmlNewNs,_wrap_xmlNewNs)
(htmlReadFile,_wrap_htmlReadFile)
(xmlGetNsList,_wrap_xmlGetNsList)
(xmlIsXHTML,_wrap_xmlIsXHTML)
