(nextSibling,NextSibling)
(node,Node)
(toString,BufferContent)
(cdata,AddCData)
(namespaces,Namespaces)
(SaxParser,NewParser)
(fromXml,FromXml)
(startComment,StartComment)
(nextElement,NextElement)
(namespace,Namespace)
(addChild,AddChild)
(writeString,WriteString)
(Comment,New)
(getDtd,GetDtd)
(type,type)
(Element,New)
(xmlNodeCount,XmlNodeCount)
(attrs,Attrs)
(remove,Remove)
(clone,Clone)
(addPrevSibling,AddPrevSibling)
(href,Href)
(find,Find)
(text,Text)
(Attribute,New)
(parent,Parent)
(startAttributeNS,StartAttributeNS)
(xmlMemUsed,XmlMemUsed)
(push,Push)
(endComment,EndComment)
(fromHtml,FromHtml)
(rngValidate,RngValidate)
(line,LineNumber)
(ProcessingInstruction,New)
(startElementNS,StartElementNS)
(root,Root)
(child,Child)
(replace,Replace)
(doc,Doc)
(version,Version)
(childNodes,ChildNodes)
(parseString,ParseString)
(prefix,Prefix)
(Text,New)
(Document,New)
(prevElement,PrevElement)
(endElement,EndElement)
(endAttribute,EndAttribute)
(path,Path)
(startDocument,StartDocument)
(TextWriter,NewTextWriter)
(value,Value)
(SaxPushParser,NewPushParser)
(endCdata,EndCdata)
(validate,Validate)
(clear,BufferEmpty)
(type,Type)
(endDocument,EndDocument)
(Namespace,New)
(addNextSibling,AddNextSibling)
(startCdata,StartCdata)
(_setDtd,SetDtd)
(encoding,Encoding)
(name,Name)
(toString,ToString)
(schematronValidate,SchematronValidate)
(outputMemory,OutputMemory)
(prevSibling,PrevSibling)
(_attr,Attr)
