(setBufsize,SetBufsize)
(code,Code)
(feed,Feed)
(streamEncoder_,StreamEncoder)
(rawEncoder_,RawEncoder)
(modeIsSupported,lzmaModeIsSupported)
(parse,Parse)
(mtEncoder_,MTEncoder)
(init,Init)
(versionNumber,lzmaVersionNumber)
(crc32_,lzmaCRC32)
(memusage,Memusage)
(filterDecoderIsSupported,lzmaFilterDecoderIsSupported)
(memlimitSet,MemlimitSet)
(checkSize,lzmaCheckSize)
(filtersUpdate,FiltersUpdate)
(rawDecoderMemusage,lzmaRawDecoderMemusage)
(rawDecoder_,RawDecoder)
(filterEncoderIsSupported,lzmaFilterEncoderIsSupported)
(aloneDecoder_,AloneDecoder)
(versionString,lzmaVersionString)
(checkIsSupported,lzmaCheckIsSupported)
(IndexParser,IndexParser)
(easyEncoder_,EasyEncoder)
(autoDecoder_,AutoDecoder)
(easyEncoderMemusage,lzmaEasyEncoderMemusage)
(memlimitGet,MemlimitGet)
(rawEncoderMemusage,lzmaRawEncoderMemusage)
(resetUnderlying,ResetUnderlying)
(Stream,LZMAStream)
(mfIsSupported,lzmaMfIsSupported)
(aloneEncoder,AloneEncoder)
(streamDecoder_,StreamDecoder)
(easyDecoderMemusage,lzmaEasyDecoderMemusage)
