(validateKeySize,ValidateKeySize)
(getModeNames,GetModeNames)
(getIvSize,GetIvSize)
(isBlockAlgorithm,IsBlockAlgorithm)
(open,Open)
(selfTest,SelfTest)
(hasIv,HasIv)
(getBlockSize,GetBlockSize)
(isBlockMode,IsBlockMode)
(validateIvSize,ValidateIvSize)
(generateIv,GenerateIv)
(MCrypt,New)
(getAlgorithmNames,GetAlgorithmNames)
(getKeySize,GetKeySize)
(isBlockAlgorithmMode,IsBlockAlgorithmMode)
(encrypt,Encrypt)
(getSupportedKeySizes,GetSupportedKeySizes)
(getModeName,GetModeName)
(decrypt,Decrypt)
(getAlgorithmName,GetAlgorithmName)
