(nextKMSRequest,NextKMSRequest)
(finalize,FinalizeContext)
(addMongoOperationResponse,AddMongoOperationResponse)
(MongoCryptContextCtor,MongoCryptContext)
(finishMongoOperation,FinishMongoOperation)
(makeExplicitDecryptionContext,MakeExplicitDecryptionContext)
(nextMongoOperation,NextMongoOperation)
(makeExplicitEncryptionContext,MakeExplicitEncryptionContext)
(makeDecryptionContext,MakeDecryptionContext)
(provideKMSProviders,ProvideKMSProviders)
(makeDataKeyContext,MakeDataKeyContext)
(makeRewrapManyDataKeyContext,MakeRewrapManyDataKeyContext)
(addResponse,AddResponse)
(fail,Fail)
(makeEncryptionContext,MakeEncryptionContext)
(MongoCrypt,MongoCrypt)
(finishKMSRequests,FinishKMSRequests)
(MongoCryptKMSRequestCtor,MongoCryptKMSRequest)
