(recordCorrectedValue,recordCorrectedValue)
(getMemorySize,getMemorySize)
(HdrHistogramIterator,HdrHistogramIterator)
(initLinear,initLinear)
(getCountLog,getCountLog)
(recordValue,recordValue)
(recordValues,recordValues)
(recordCorrectedValues,recordCorrectedValues)
(addWhileCorrectingForCoordinatedOmission,addWhileCorrectingForCoordinatedOmission)
(min,min)
(HdrHistogram,HdrHistogram)
(getEncoded,getEncoded)
(percentile,percentile)
(valuesAreEquivalent,valuesAreEquivalent)
(getCountRecorded,getCountRecorded)
(max,max)
(stddev,stddev)
(initPercentile,initPercentile)
(nextNonEquivalentValue,nextNonEquivalentValue)
(getPercentile,getPercentile)
(next,next)
(initLog,initLog)
(initRecorded,initRecorded)
(medianEquivalentValue,medianEquivalentValue)
(setEncoded,setEncoded)
(add,add)
(getValue,getValue)
(mean,mean)
(countAtValue,countAtValue)
(lowestEquivalentValue,lowestEquivalentValue)
(reset,reset)
(getCountLinear,getCountLinear)
