(dcopy,dcopy)
(ssyr2k,ssyr2k)
(sdot,sdot)
(ztrsm,ztrsm)
(scnrm2,scnrm2)
(srotmg,srotmg)
(dtbmv,dtbmv)
(ctbmv,ctbmv)
(ssyr,ssyr)
(ztbsv,ztbsv)
(cscal,cscal)
(dsdot,dsdot)
(ccopy,ccopy)
(sgbmv,sgbmv)
(sswap,sswap)
(dgemm,dgemm)
(ctpmv,ctpmv)
(ctrmv,ctrmv)
(ssbmv,ssbmv)
(drotg,drotg)
(dtpmv,dtpmv)
(zgbmv,zgbmv)
(ztrmv,ztrmv)
(ssyr2,ssyr2)
(saxpy,saxpy)
(dscal,dscal)
(ddot,ddot)
(csyr2k,csyr2k)
(dtbsv,dtbsv)
(stbsv,stbsv)
(sgemv,sgemv)
(ztpsv,ztpsv)
(cgemm,cgemm)
(dasum,dasum)
(csyrk,csyrk)
(isamax,isamax)
(ssymv,ssymv)
(zgemm,zgemm)
(dspr2,dspr2)
(ctpsv,ctpsv)
(dzasum,dzasum)
(csymm,csymm)
(dger,dger)
(strsm,strsm)
(ztrsv,ztrsv)
(dsymv,dsymv)
(stbmv,stbmv)
(sscal,sscal)
(stpmv,stpmv)
(cswap,cswap)
(dnrm2,dnrm2)
(sspr,sspr)
(dspmv,dspmv)
(cgemv,cgemv)
(snrm2,snrm2)
(sspmv,sspmv)
(dsbmv,dsbmv)
(dsyrk,dsyrk)
(idamax,idamax)
(dtrmv,dtrmv)
(stpsv,stpsv)
(sasum,sasum)
(ztpmv,ztpmv)
(strsv,strsv)
(scasum,scasum)
(sspr2,sspr2)
(srotm,srotm)
(zsymm,zsymm)
(dspr,dspr)
(drot,drot)
(ctrmm,ctrmm)
(sgemm,sgemm)
(scopy,scopy)
(strmm,strmm)
(ctbsv,ctbsv)
(cgbmv,cgbmv)
(ztbmv,ztbmv)
(zaxpy,zaxpy)
(dtpsv,dtpsv)
(zcopy,zcopy)
(dtrsv,dtrsv)
(daxpy,daxpy)
(dswap,dswap)
(icamax,icamax)
(dsyr2,dsyr2)
(drotmg,drotmg)
(dznrm2,dznrm2)
(ssyrk,ssyrk)
(ztrmm,ztrmm)
(dsymm,dsymm)
(zsyrk,zsyrk)
(dtrsm,dtrsm)
(zgemv,zgemv)
(strmv,strmv)
(ctrsm,ctrsm)
(sdsdot,sdsdot)
(sger,sger)
(drotm,drotm)
(srotg,srotg)
(izamax,izamax)
(srot,srot)
(dsyr,dsyr)
(dsyr2k,dsyr2k)
(caxpy,caxpy)
(ctrsv,ctrsv)
(zscal,zscal)
(zsyr2k,zsyr2k)
(dgbmv,dgbmv)
(ssymm,ssymm)
(dgemv,dgemv)
(zswap,zswap)
(dtrmm,dtrmm)
