(getNameAsync,getNameAsync)
(removeAsync,removeAsync)
(detachAsync,detachAsync)
(setOffsetAsync,setOffsetAsync)
(getMetadataBuilderSync,getMetadataBuilderSync)
(Transaction,Transaction)
(newItemSync,newItemSync)
(TraceBLRStatement,TraceBLRStatement)
(startAndSendSync,startAndSendSync)
(getFbVersionAsync,getFbVersionAsync)
(queEventsAsync,queEventsAsync)
(getOutputMetadataAsync,getOutputMetadataAsync)
(nextAsync,nextAsync)
(fetchNextSync,fetchNextSync)
(getRemoteProtocolAsync,getRemoteProtocolAsync)
(Master,Master)
(setOffsetsSync,setOffsetsSync)
(getSubConfigSync,getSubConfigSync)
(getLengthAsync,getLengthAsync)
(MetadataBuilder,MetadataBuilder)
(isEofAsync,isEofAsync)
(createDatabaseAsync,createDatabaseAsync)
(UdrPlugin,UdrPlugin)
(roleAsync,roleAsync)
(setCharSetAsync,setCharSetAsync)
(attachDatabaseSync,attachDatabaseSync)
(getBufferAsync,getBufferAsync)
(insertIntAsync,insertIntAsync)
(Provider,Provider)
(releasePluginAsync,releasePluginAsync)
(handlerAsync,handlerAsync)
(MessageMetadata,MessageMetadata)
(registerTransactionAsync,registerTransactionAsync)
(resetAsync,resetAsync)
(getTagSync,getTagSync)
(getRelationSync,getRelationSync)
(fetchLastSync,fetchLastSync)
(setScaleSync,setScaleSync)
(getRemoteProcessNameSync,getRemoteProcessNameSync)
(getKindAsync,getKindAsync)
(networkProtocolAsync,networkProtocolAsync)
(insertTagSync,insertTagSync)
(setKeySync,setKeySync)
(fetchLastAsync,fetchLastAsync)
(getIntSync,getIntSync)
(userNameSync,userNameSync)
(insertStringAsync,insertStringAsync)
(putSegmentAsync,putSegmentAsync)
(createBlobAsync,createBlobAsync)
(insertIntSync,insertIntSync)
(TraceFactory,TraceFactory)
(OffsetsCallback,OffsetsCallback)
(shutdownAsync,shutdownAsync)
(registerAttachmentSync,registerAttachmentSync)
(getPluginAsync,getPluginAsync)
(moveNameToIndexAsync,moveNameToIndexAsync)
(IntUserField,IntUserField)
(attachServiceManagerAsync,attachServiceManagerAsync)
(getMetadataAsync,getMetadataAsync)
(TraceTransaction,TraceTransaction)
(eventCallbackFunctionSync,eventCallbackFunctionSync)
(closeSync,closeSync)
(resetSync,resetSync)
(registerModuleAsync,registerModuleAsync)
(moveNextSync,moveNextSync)
(ClientBlock,ClientBlock)
(unregisterModuleAsync,unregisterModuleAsync)
(registerTransactionSync,registerTransactionSync)
(getInfoSync,getInfoSync)
(getCharSetSync,getCharSetSync)
(fetchPriorSync,fetchPriorSync)
(getBodyAsync,getBodyAsync)
(TraceContextVariable,TraceContextVariable)
(fetchSync,fetchSync)
(setSync,setSync)
(getTypeSync,getTypeSync)
(UdrFunctionFactory,UdrFunctionFactory)
(getXpbBuilderAsync,getXpbBuilderAsync)
(insertBytesSync,insertBytesSync)
(unwindAsync,unwindAsync)
(networkProtocolSync,networkProtocolSync)
(getRoleNameAsync,getRoleNameAsync)
(TimerControl,TimerControl)
(specifiedSync,specifiedSync)
(openBlobSync,openBlobSync)
(queEventsSync,queEventsSync)
(startAndSendAsync,startAndSendAsync)
(getSegmentAsync,getSegmentAsync)
(encryptAsync,encryptAsync)
(doCleanSync,doCleanSync)
(ExternalTrigger,ExternalTrigger)
(executeAsync,executeAsync)
(getTagAsync,getTagAsync)
(roleSync,roleSync)
(ExternalProcedure,ExternalProcedure)
(cloneSync,cloneSync)
(getStatusSync,getStatusSync)
(getKeySync,getKeySync)
(shutdownSync,shutdownSync)
(getDatabaseNameSync,getDatabaseNameSync)
(PluginFactory,PluginFactory)
(LogonInfo,LogonInfo)
