(goToDup,goToDup)
(detachBuffer,detachBuffer)
(goToFirstDup,goToFirstDup)
(goToPrevDup,goToPrevDup)
(open,open)
(goToRange,goToRange)
(goToLast,goToLast)
(goToKey,goToKey)
(stat,stat)
(info,info)
(beginTxn,beginTxn)
(goToNextDup,goToNextDup)
(copy,copy)
(sync,sync)
(goToPrev,goToPrev)
(goToFirst,goToFirst)
(openDbi,openDbi)
(getCurrentString,getCurrentString)
(goToDupRange,goToDupRange)
(getCurrentBinary,getCurrentBinary)
(Env,ctor)
(getCurrentStringUnsafe,getCurrentStringUnsafe)
(getCurrentBoolean,getCurrentBoolean)
(del,del)
(goToLastDup,goToLastDup)
(goToNext,goToNext)
(batchWrite,batchWrite)
(close,close)
(getCurrentBinaryUnsafe,getCurrentBinaryUnsafe)
(Cursor,ctor)
(resize,resize)
(getCurrentNumber,getCurrentNumber)
