(ClearSessionPassword,ClearSessionPassword)
(SetPlcDateTime,SetPlcDateTime)
(GetCpInfo,GetCpInfo)
(SetParam,SetParam)
(PDURequested,PDURequested)
(StartTo,StartTo)
(GetOrderCode,GetOrderCode)
(SetArea,SetArea)
(PlcColdStart,PlcColdStart)
(ListBlocksOfType,ListBlocksOfType)
(FullUpload,FullUpload)
(ErrorText,ErrorText)
(ServerStatus,ServerStatus)
(ConnectTo,ConnectTo)
(Connect,Connect)
(RegisterArea,RegisterArea)
(S7Client,New)
(DBFill,DBFill)
(GetCpuStatus,GetCpuStatus)
(ReadSZL,ReadSZL)
(UnregisterArea,UnregisterArea)
(GetParam,GetParam)
(Compress,Compress)
(PlcStatus,PlcStatus)
(Delete,Delete)
(GetPlcDateTime,GetPlcDateTime)
(SetSessionPassword,SetSessionPassword)
(Download,Download)
(Connected,Connected)
(SetConnectionType,SetConnectionType)
(GetAgBlockInfo,GetAgBlockInfo)
(Stop,Stop)
(ReadArea,ReadArea)
(GetProtection,GetProtection)
(ClientsCount,ClientsCount)
(Disconnect,Disconnect)
(GetPgBlockInfo,GetPgBlockInfo)
(SetCpuStatus,SetCpuStatus)
(SetPlcSystemDateTime,SetPlcSystemDateTime)
(DBGet,DBGet)
(UnlockArea,UnlockArea)
(PlcHotStart,PlcHotStart)
(LastError,LastError)
(PDULength,PDULength)
(LockArea,LockArea)
(GetArea,GetArea)
(ListBlocks,ListBlocks)
(PlcStop,PlcStop)
(EventText,EventText)
(ExecTime,ExecTime)
(SetResourceless,SetResourceless)
(WriteArea,WriteArea)
(ReadSZLList,ReadSZLList)
(GetCpuInfo,GetCpuInfo)
(S7Server,New)
(WriteMultiVars,WriteMultiVars)
(SetConnectionParams,SetConnectionParams)
(Upload,Upload)
(CopyRamToRom,CopyRamToRom)
(GetEventsMask,GetEventsMask)
(SetEventMask,SetEventsMask)
(ReadMultiVars,ReadMultiVars)
(Start,Start)
