(spell,spell)
(stem,stem)
(suggestSync,suggestSync)
(getWordCharacters,getWordCharacters)
(remove,remove)
(removeSync,removeSync)
(nodehun/build/Debug/Nodehun,CreateObject)
(addDictionarySync,addDictionarySync)
(analyzeSync,analyzeSync)
(generateSync,generateSync)
(addSync,addSync)
(suggest,suggest)
(getVersion,getVersion)
(Nodehun,Nodehun)
(stemSync,stemSync)
(addWithAffix,addWithAffix)
(addWithAffixSync,addWithAffixSync)
(analyze,analyze)
(addDictionary,addDictionary)
(generate,generate)
(add,add)
(target/Nodehun,CreateObject)
(getDictionaryEncoding,getDictionaryEncoding)
(getWordCharactersUTF16,getWordCharactersUTF16)
(spellSync,spellSync)
