(encodeWebPSync,encodeWebPSync)
(decodeWebPSync,decodeWebPSync)
(encodeJpegSync,encodeJpegSync)
(decodeTiffSync,decodeTiffSync)
(encodeTiffSync,encodeTiffSync)
(statJpeg,statJpeg)
(decodePngSync,decodePngSync)
(encodePng,encodePng)
(decodeJpeg,decodeJpeg)
(statTiff,statTiff)
(colorConvert,colorConvert)
(decodePng,decodePng)
(decodeWebP,decodeWebP)
(decodeJpegSync,decodeJpegSync)
(encodeWebP,encodeWebP)
(encodeJpeg,encodeJpeg)
(statWebP,statWebP)
(resizeSync,resizeSync)
(statPng,statPng)
(encodeTiff,encodeTiff)
(colorConvertSync,colorConvertSync)
(encodePngSync,encodePngSync)
(resize,resize)
(decodeTiff,decodeTiff)
