(setsid,node_setsid)
(getppid,node_getppid)
(getrlimit,node_getrlimit)
(update_swap_constants,node_update_swap_constants)
(gethostname,node_gethostname)
(openlog,node_openlog)
(setreuid,node_setreuid)
(setlogmask,node_setlogmask)
(initgroups,node_initgroups)
(syslog,node_syslog)
(getpwnam,node_getpwnam)
(closelog,node_closelog)
(setrlimit,node_setrlimit)
(sethostname,node_sethostname)
(seteuid,node_seteuid)
(update_syslog_constants,node_update_syslog_constants)
(swapon,node_swapon)
(setpgid,node_setpgid)
(geteuid,node_geteuid)
(getpgid,node_getpgid)
(getegid,node_getegid)
(chroot,node_chroot)
(swapoff,node_swapoff)
(setegid,node_setegid)
(setregid,node_setregid)
(getgrnam,node_getgrnam)
