(getColor,getColor)
(setKeyboardDelay,setKeyboardDelay)
(dragMouse,dragMouse)
(mouseToggle,mouseToggle)
(typeString,typeString)
(getPixelColor,getPixelColor)
(setXDisplayName,setXDisplayName)
(mouseClick,mouseClick)
(typeStringDelayed,typeStringDelayed)
(scrollMouse,scrollMouse)
(getXDisplayName,getXDisplayName)
(keyToggle,keyToggle)
(keyTap,keyTap)
(getMousePos,getMousePos)
(captureScreen,captureScreen)
(moveMouseSmooth,moveMouseSmooth)
(setMouseDelay,setMouseDelay)
(getScreenSize,getScreenSize)
(updateScreenMetrics,updateScreenMetrics)
(moveMouse,moveMouse)
