(gpio_event_set,gpio_event_set)
(i2c_end,i2c_end)
(spi_set_cs_polarity,spi_set_cs_polarity)
(gpio_write,gpio_write)
(gpio_read,gpio_read)
(gpio_writebuf,gpio_writebuf)
(pwm_set_data,pwm_set_data)
(spi_write,spi_write)
(i2c_read,i2c_read)
(spi_set_clock_divider,spi_set_clock_divider)
(spi_transfer,spi_transfer)
(rpio_usleep,rpio_usleep)
(gpio_readbuf,gpio_readbuf)
(spi_set_data_mode,spi_set_data_mode)
(i2c_write,i2c_write)
(gpio_pad_write,gpio_pad_write)
(gpio_event_clear,gpio_event_clear)
(pwm_set_mode,pwm_set_mode)
(gpio_pad_read,gpio_pad_read)
(gpio_event_poll,gpio_event_poll)
(rpio_init,rpio_init)
(i2c_set_slave_address,i2c_set_slave_address)
(i2c_read_register_rs,i2c_read_register_rs)
(gpio_function,gpio_function)
(gpio_pud,gpio_pud)
(i2c_begin,i2c_begin)
(i2c_set_baudrate,i2c_set_baudrate)
(pwm_set_range,pwm_set_range)
(rpio_close,rpio_close)
(spi_chip_select,spi_chip_select)
(i2c_write_read_rs,i2c_write_read_rs)
(i2c_set_clock_divider,i2c_set_clock_divider)
(pwm_set_clock,pwm_set_clock)
(spi_end,spi_end)
(spi_begin,spi_begin)
