(publicKeyCreate,PublicKeyCreate)
(publicKeyTweakAdd,PublicKeyTweakAdd)
(signatureNormalize,SignatureNormalize)
(Secp256k1,Secp256k1Addon)
(privateKeyNegate,PrivateKeyNegate)
(publicKeyVerify,PublicKeyVerify)
(ecdh,ECDH)
(ecdsaRecover,ECDSARecover)
(publicKeyTweakMul,PublicKeyTweakMul)
(ecdsaSign,ECDSASign)
(signatureExport,SignatureExport)
(privateKeyVerify,PrivateKeyVerify)
(signatureImport,SignatureImport)
(contextRandomize,ContextRandomize)
(privateKeyTweakAdd,PrivateKeyTweakAdd)
(publicKeyCombine,PublicKeyCombine)
(publicKeyConvert,PublicKeyConvert)
(publicKeyNegate,PublicKeyNegate)
(ecdsaVerify,ECDSAVerify)
(privateKeyTweakMul,PrivateKeyTweakMul)
