(randombytes_close,bind_randombytes_close_)
(crypto_aead_aes256gcm_is_available,bind_crypto_aead_aes256gcm_is_available_)
(crypto_generichash_blake2b_bytes,bind_crypto_generichash_blake2b_bytes_)
(crypto_core_salsa208,bind_crypto_core_salsa208_)
(crypto_aead_chacha20poly1305_encrypt_detached,bind_crypto_aead_chacha20poly1305_encrypt_detached_)
(crypto_stream_chacha20_ietf_noncebytes,bind_crypto_stream_chacha20_ietf_noncebytes_)
(crypto_pwhash_scryptsalsa208sha256_memlimit_sensitive,bind_crypto_pwhash_scryptsalsa208sha256_memlimit_sensitive_)
(crypto_verify_32,bind_crypto_verify_32_)
(crypto_pwhash_argon2id_bytes_min,bind_crypto_pwhash_argon2id_bytes_min_)
(crypto_verify_16,bind_crypto_verify_16_)
(crypto_pwhash_argon2i_bytes_max,bind_crypto_pwhash_argon2i_bytes_max_)
(crypto_pwhash_argon2id_bytes_max,bind_crypto_pwhash_argon2id_bytes_max_)
(crypto_hash_sha256_init,bind_crypto_hash_sha256_init_)
(crypto_onetimeauth,bind_crypto_onetimeauth_poly1305_)
(crypto_secretbox_xsalsa20poly1305_open,bind_crypto_secretbox_xsalsa20poly1305_open_)
(crypto_stream_chacha20_ietf_keybytes,bind_crypto_stream_chacha20_ietf_keybytes_)
(crypto_pwhash_argon2id_memlimit_min,bind_crypto_pwhash_argon2id_memlimit_min_)
(crypto_auth_keygen,bind_crypto_auth_hmacsha512256_keygen_)
(crypto_auth_hmacsha512_keygen,bind_crypto_auth_hmacsha512_keygen_)
(crypto_pwhash_bytes_max,bind_crypto_pwhash_bytes_max_)
(crypto_sign_seed_keypair,bind_crypto_sign_ed25519_seed_keypair_)
(compare,bind_compare_)
(crypto_pwhash_strbytes,bind_crypto_pwhash_strbytes_)
(crypto_pwhash_argon2i_bytes_min,bind_crypto_pwhash_argon2i_bytes_min_)
(crypto_pwhash_argon2i_memlimit_interactive,bind_crypto_pwhash_argon2i_memlimit_interactive_)
(crypto_sign_ed25519_keypair,bind_crypto_sign_ed25519_keypair_)
(crypto_aead_aes256gcm_abytes,bind_crypto_aead_aes256gcm_abytes_)
(crypto_pwhash_argon2i_passwd_min,bind_crypto_pwhash_argon2i_passwd_min_)
(crypto_auth_hmacsha512256_keybytes,bind_crypto_auth_hmacsha512256_keybytes_)
(crypto_sign_ed25519_sk_to_pk,bind_crypto_sign_ed25519_sk_to_pk_)
(crypto_box_sealbytes,bind_crypto_box_sealbytes_)
(crypto_pwhash_opslimit_max,bind_crypto_pwhash_opslimit_max_)
(crypto_sign_ed25519_sk_to_curve25519,bind_crypto_sign_ed25519_sk_to_curve25519_)
(sodium_runtime_has_neon,bind_sodium_runtime_has_neon_)
(crypto_aead_aes256gcm_decrypt_afternm,bind_crypto_aead_aes256gcm_decrypt_afternm_)
(crypto_generichash_primitive,bind_crypto_generichash_primitive_)
(crypto_pwhash_argon2i_memlimit_sensitive,bind_crypto_pwhash_argon2i_memlimit_sensitive_)
(crypto_stream_salsa208_noncebytes,bind_crypto_stream_salsa208_noncebytes_)
(crypto_pwhash_argon2i_opslimit_sensitive,bind_crypto_pwhash_argon2i_opslimit_sensitive_)
(crypto_aead_chacha20poly1305_ietf_messagebytes_max,bind_crypto_aead_chacha20poly1305_ietf_messagebytes_max_)
(increment,bind_increment_)
(crypto_pwhash_passwd_max,bind_crypto_pwhash_passwd_max_)
(crypto_box,bind_crypto_box_)
(crypto_aead_chacha20poly1305_ietf_decrypt,bind_crypto_aead_chacha20poly1305_ietf_decrypt_)
