(nextSibling,NextSibling)
(namedChild,NamedChild)
(gotoFirstChildForPosition,GotoFirstChildForPosition)
(childNodesForFieldId,ChildNodesForFieldId)
(gotoDescendant,GotoDescendant)
(grammarType,GrammarType)
(previousSibling,PreviousSibling)
(endIndex,EndIndex)
(parse,Parse)
(lastChild,LastChild)
(startPosition,StartPosition)
(startIndex,StartIndex)
(parent,Parent)
(endPosition,EndPosition)
(_matches,Matches)
(resetState,ResetState)
(children,Children)
(getEditedRange,GetEditedRange)
(getLogger,GetLogger)
(TreeCursor,TreeCursor)
(grammarId,GrammarId)
(isMissing,IsMissing)
(_cacheNodes,CacheNodes)
(isPatternGuaranteedAtStep,IsPatternGuaranteedAtStep)
(descendantForPosition,DescendantForPosition)
(_next,Next)
(namedDescendantForPosition,NamedDescendantForPosition)
(namedChildren,NamedChildren)
(edit,Edit)
(parseState,ParseState)
(rootNode,RootNode)
(gotoPreviousSibling,GotoPreviousSibling)
(Parser,Parser)
(closest,Closest)
(getNodeTypeNamesById,GetNodeTypeNamesById)
(endIndexForPattern,EndIndexForPattern)
(gotoLastChild,GotoLastChild)
(namedChildCount,NamedChildCount)
(setLanguage,SetLanguage)
(childForFieldId,ChildForFieldId)
(gotoFirstChildForIndex,GotoFirstChildForIndex)
(previousNamedSibling,PreviousNamedSibling)
(isExtra,IsExtra)
(reset,Reset)
(gotoFirstChild,GotoFirstChild)
(rootNodeWithOffset,RootNodeWithOffset)
(child,Child)
(getChangedRanges,GetChangedRanges)
(gotoNextSibling,GotoNextSibling)
(getIncludedRanges,GetIncludedRanges)
(descendantsOfType,DescendantsOfType)
(isError,IsError)
(getTimeoutMicros,TimeoutMicros)
(_captures,Captures)
(childrenForFieldId,ChildrenForFieldId)
(fieldNameForNamedChild,FieldNameForNamedChild)
(setLogger,SetLogger)
(nextNamedSibling,NextNamedSibling)
(descendantForIndex,DescendantForIndex)
(childrenForFieldName,ChildrenForFieldName)
(isNamed,IsNamed)
(_getPredicates,GetPredicates)
(isPatternNonLocal,IsPatternNonLocal)
(childCount,ChildCount)
(resetTo,ResetTo)
(hasChanges,HasChanges)
(childWithDescendant,ChildWithDescendant)
(printDotGraphs,PrintDotGraphs)
(LookaheadIterator,LookaheadIterator)
(id,Id)
(hasError,HasError)
(currentNode,CurrentNode)
(type,Type)
(firstChild,FirstChild)
(descendantCount,DescendantCount)
(gotoParent,GotoParent)
(disableCapture,DisableCapture)
(firstNamedChild,FirstNamedChild)
(startIndexForPattern,StartIndexForPattern)
(nextParseState,NextParseState)
(childForFieldName,ChildForFieldName)
(setTimeoutMicros,SetTimeoutMicros)
(namedDescendantForIndex,NamedDescendantForIndex)
(_cacheNode,CacheNode)
(walk,Walk)
(Query,Query)
(isPatternRooted,IsPatternRooted)
(lastNamedChild,LastNamedChild)
(printDotGraph,PrintDotGraph)
(typeId,TypeId)
(didExceedMatchLimit,DidExceedMatchLimit)
(firstNamedChildForIndex,FirstNamedChildForIndex)
(fieldNameForChild,FieldNameForChild)
(getIncludedRanges,IncludedRanges)
(Tree,Tree)
(getNodeFieldNamesById,GetNodeFieldNamesById)
(childNodeForFieldId,ChildNodeForFieldId)
(toString,ToString)
(firstChildForIndex,FirstChildForIndex)
(disablePattern,DisablePattern)
