(utp_napi_recv_buffer,utp_napi_recv_buffer)
(utp_napi_local_port,utp_napi_local_port)
(utp_napi_send_request_init,utp_napi_send_request_init)
(utp_napi_close,utp_napi_close)
(utp_napi_connection_shutdown,utp_napi_connection_shutdown)
(utp_napi_destroy,utp_napi_destroy)
(utp_napi_connection_close,utp_napi_connection_close)
(utp_napi_send,utp_napi_send)
(utp_napi_connection_writev,utp_napi_connection_writev)
(utp_napi_connection_on_close,utp_napi_connection_on_close)
(utp_napi_send_buffer,utp_napi_send_buffer)
(utp_napi_ref,utp_napi_ref)
(utp_napi_init,utp_napi_init)
(utp_napi_connection_write,utp_napi_connection_write)
(utp_napi_bind,utp_napi_bind)
(utp_napi_connection_init,utp_napi_connection_init)
(utp_napi_set_ttl,utp_napi_set_ttl)
(utp_napi_unref,utp_napi_unref)
(utp_napi_connect,utp_napi_connect)
