(stopProfiling,StopProfiling)
(startSamplingHeapProfiling,StartSamplingHeapProfiling)
(stopSamplingHeapProfiling,StopSamplingHeapProfiling)
(getHeapStats,GetHeapStats)
(startProfiling,StartProfiling)
(takeSnapshot,TakeSnapshot)
(setup,JsSetupEnvironmentData)
(setProfilesCleanupLimit,SetProfilesCleanupLimit)
(startTrackingHeapObjects,StartTrackingHeapObjects)
(setSamplingInterval,SetSamplingInterval)
(stopTrackingHeapObjects,StopTrackingHeapObjects)
(getObjectByHeapObjectId,GetObjectByHeapObjectId)
(setGenerateType,SetGenerateType)
(getHeapObjectId,GetHeapObjectId)
(collectSample,CollectSample)
