(callback,callback)
(x,point)
(y,point)
(height,size)
(width,size)
(length,LengthGetter)
(getMany,GetMany)
(moveNext,MoveNext)
(current,CurrentGetter)
(hasCurrent,HasCurrentGetter)
(first,First)
(getAt,GetAt)
(indexOf,IndexOf)
(size,SizeGetter)
(length,SizeGetter)
(append,Append)
(clear,Clear)
(getView,GetView)
(insertAt,InsertAt)
(removeAt,RemoveAt)
(removeAtEnd,RemoveAtEnd)
(replaceAll,ReplaceAll)
(setAt,SetAt)
(key,KeyGetter)
(value,ValueGetter)
(hasKey,HasKey)
(lookup,Lookup)
(split,Split)
(insert,Insert)
(remove,Remove)
(setEnabled,SetEnabled)
(setModelData,SetModelData)
(getModelDataType,GetModelDataType)
(getModelData,GetModelData)
(clearModelData,ClearModelData)
(applyTrainingData,ApplyTrainingData)
(clearTrainingData,ClearTrainingData)
(setEnabledAsync,SetEnabledAsync)
(setModelDataAsync,SetModelDataAsync)
(getModelDataTypeAsync,GetModelDataTypeAsync)
(getModelDataAsync,GetModelDataAsync)
(clearModelDataAsync,ClearModelDataAsync)
(applyTrainingDataAsync,ApplyTrainingDataAsync)
(clearTrainingDataAsync,ClearTrainingDataAsync)
(addListener,AddListener)
(on,AddListener)
(removeListener,RemoveListener)
(off,RemoveListener)
(availabilityInfo,AvailabilityInfoGetter)
(displayName,DisplayNameGetter)
(isActive,IsActiveGetter)
(modelId,ModelIdGetter)
(signalId,SignalIdGetter)
(trainingDataFormat,TrainingDataFormatGetter)
(trainingStepsCompleted,TrainingStepsCompletedGetter)
(trainingStepsRemaining,TrainingStepsRemainingGetter)
(castFrom,CastFrom)
(getSupportedModelIdsForSignalId,GetSupportedModelIdsForSignalId)
(createConfiguration,CreateConfiguration)
(getConfigurations,GetConfigurations)
(getConfiguration,GetConfiguration)
(removeConfiguration,RemoveConfiguration)
(getSupportedModelIdsForSignalIdAsync,GetSupportedModelIdsForSignalIdAsync)
(createConfigurationAsync,CreateConfigurationAsync)
(getConfigurationsAsync,GetConfigurationsAsync)
(getConfigurationAsync,GetConfigurationAsync)
(removeConfigurationAsync,RemoveConfigurationAsync)
(canCreateConfigurations,CanCreateConfigurationsGetter)
(kind,KindGetter)
(providerId,ProviderIdGetter)
(supportedModelDataTypes,SupportedModelDataTypesGetter)
(supportedPowerStates,SupportedPowerStatesGetter)
(supportedTrainingDataFormats,SupportedTrainingDataFormatsGetter)
(getAllActivationSignalDetectors,GetAllActivationSignalDetectors)
(getActivationSignalDetectors,GetActivationSignalDetectors)
(getAllActivationSignalDetectorsAsync,GetAllActivationSignalDetectorsAsync)
(getActivationSignalDetectorsAsync,GetActivationSignalDetectorsAsync)
(default,DefaultGetter)
(requestInterruptible,RequestInterruptible)
(requestAgentStateChange,RequestAgentStateChange)
(requestForegroundActivation,RequestForegroundActivation)
(getAudioClient,GetAudioClient)
(createAudioDeviceInputNode,CreateAudioDeviceInputNode)
(getAudioCaptureDeviceId,GetAudioCaptureDeviceId)
(getAudioRenderDeviceId,GetAudioRenderDeviceId)
(getSignalModelId,GetSignalModelId)
(setSignalModelId,SetSignalModelId)
(getSupportedSignalModelIds,GetSupportedSignalModelIds)
(close,Close)
(requestInterruptibleAsync,RequestInterruptibleAsync)
(requestAgentStateChangeAsync,RequestAgentStateChangeAsync)
(requestForegroundActivationAsync,RequestForegroundActivationAsync)
(getAudioClientAsync,GetAudioClientAsync)
(createAudioDeviceInputNodeAsync,CreateAudioDeviceInputNodeAsync)
(getAudioCaptureDeviceIdAsync,GetAudioCaptureDeviceIdAsync)
(getAudioRenderDeviceIdAsync,GetAudioRenderDeviceIdAsync)
(getSignalModelIdAsync,GetSignalModelIdAsync)
(setSignalModelIdAsync,SetSignalModelIdAsync)
(getSupportedSignalModelIdsAsync,GetSupportedSignalModelIdsAsync)
(agentState,AgentStateGetter)
(isIndicatorLightAvailable,IsIndicatorLightAvailableGetter)
(isInterrupted,IsInterruptedGetter)
(isInterruptible,IsInterruptibleGetter)
(isScreenAvailable,IsScreenAvailableGetter)
(isUserAuthenticated,IsUserAuthenticatedGetter)
(isVoiceActivationAvailable,IsVoiceActivationAvailableGetter)
(signal,SignalGetter)
(getCurrentSessionSync,GetCurrentSessionSync)
(systemStateChangeType,SystemStateChangeTypeGetter)
(hasLockScreenPermission,HasLockScreenPermissionGetter)
(hasPermission,HasPermissionGetter)
(hasSystemResourceAccess,HasSystemResourceAccessGetter)
(isEnabled,IsEnabledGetter)
